name ,command
docker-library_haproxy,docker build -t docker-library_haproxy \Repositories1\docker-library_haproxy\1.9\.
docker-library_hello-world,docker build -t docker-library_hello-world \Repositories1\docker-library_hello-world\i386\hello-world\.
docker-library_httpd,docker build -t docker-library_httpd \Repositories1\docker-library_httpd\2.4\.
docker-library_julia,docker build -t docker-library_julia \Repositories1\docker-library_julia\1.0\windows\windowsservercore-1809\.
docker-library_mariadb,docker build -t docker-library_mariadb \Repositories1\docker-library_mariadb\10.3\.
docker-library_memcached,docker build -t docker-library_memcached \Repositories1\docker-library_memcached\debian\.
docker-library_mongo,docker build -t docker-library_mongo \Repositories1\docker-library_mongo\4.2\.
docker-library_mysql,docker build -t docker-library_mysql \Repositories1\docker-library_mysql\5.7\.
docker-library_openjdk,docker build -t docker-library_openjdk \Repositories1\docker-library_openjdk\8\jre\.
docker-library_owncloud,docker build -t docker-library_owncloud \Repositories1\docker-library_owncloud\9.1\apache\.
docker-library_php,docker build -t docker-library_php \Repositories1\docker-library_php\7.4\alpine3.11\cli\.
docker-library_postgres,docker build -t docker-library_postgres \Repositories1\docker-library_postgres\10\.
docker-library_pypy,docker build -t docker-library_pypy \Repositories1\docker-library_pypy\3.6\.
docker-library_python,docker build -t docker-library_python \Repositories1\docker-library_python\3.8\alpine3.11\.
docker-library_rabbitmq,docker build -t docker-library_rabbitmq \Repositories1\docker-library_rabbitmq\3.8\ubuntu\.
docker-library_rails,docker build -t docker-library_rails \Repositories1\docker-library_rails\.
docker-library_redis,docker build -t docker-library_redis \Repositories1\docker-library_redis\5.0\.
docker-library_redmine,docker build -t docker-library_redmine \Repositories1\docker-library_redmine\4.1\.
docker-library_ruby,docker build -t docker-library_ruby \Repositories1\docker-library_ruby\2.7\alpine3.11\.
docker-library_tomcat,docker build -t docker-library_tomcat \Repositories1\docker-library_tomcat\9.0\jdk8\corretto\.
docker-library_wordpress,docker build -t docker-library_wordpress \Repositories1\docker-library_wordpress\php7.3\apache\.
docker-solr_docker-solr,docker build -t docker-solr_docker-solr \Repositories1\docker-solr_docker-solr\8.1\.
docker_distribution-library-image,docker build -t docker_distribution-library-image \Repositories1\distribution-library-image\amd64\.
docker_swarm-library-image,docker build -t docker_swarm-library-image \Repositories1\docker_swarm-library-image\.
dshearer_jobber-docker,docker build -t dshearer_jobber-docker \Repositories1\dshearer_jobber-docker\alpine3.7\.
eclipse_mosquitto,docker build -t eclipse_mosquitto \Repositories1\eclipse_mosquitto\docker\1.6\.
eggheads_eggdrop-docker,docker build -t eggheads_eggdrop-docker \Repositories1\eggheads_eggdrop-docker\1.8\.
erlang_docker-erlang-otp,docker build -t erlang_docker-erlang-otp \Repositories1\erlang_docker-erlang-otp\23\.
ExpressGateway_express-gateway,docker build -t ExpressGateway_express-gateway \Repositories1\ExpressGateway_express-gateway\.
fluent_fluentd-docker-image,docker build -t fluent_fluentd-docker-image \Repositories1\fluent_fluentd-docker-image\v1.10\debian\.
friendica_docker,docker build -t friendica_docker \Repositories1\friendica_docker\2019.12\apache\.
fsprojects_docker-fsharp,docker build -t fsprojects_docker-fsharp \Repositories1\fsprojects_docker-fsharp\10.7.0\netcore\.
geonetwork_docker-geonetwork,docker build -t geonetwork_docker-geonetwork \Repositories1\geonetwork_docker-geonetwork\3.8.3\.
groovy_docker-groovy,docker build -t groovy_docker-groovy \Repositories1\groovy_docker-groovy\jre8\.
hashicorp_docker-consul,docker build -t hashicorp_docker-consul \Repositories1\hashicorp_docker-consul\0.X\.
hashicorp_docker-vault,docker build -t hashicorp_docker-vault \Repositories1\hashicorp_docker-vault\0.X\.
haskell_docker-haskell,docker build -t haskell_docker-haskell \Repositories1\haskell_docker-haskell\8.6\.
HaxeFoundation_docker-library-haxe,docker build -t HaxeFoundation_docker-library-haxe \Repositories1\HaxeFoundation_docker-library-haxe\4.0\alpine3.11\.
hylang_hy,docker build -t hylang_hy \Repositories1\hylang_hy\.
ibmruntimes_ci.docker,docker build -t ibmruntimes_ci.docker \Repositories1\ibmruntimes_ci.docker\ibmjava\8\maven
idno_Known-Docker,docker build -t idno_Known-Docker \Repositories1\idno_Known-Docker\.
influxdata_influxdata-docker,docker build -t influxdata_influxdata-docker \Repositories1\influxdata_influxdata-docker\chronograf\1.8\.
jenkinsci_docker,docker build -t jenkinsci_docker \Repositories1\jenkinsci_docker\.
jessfraz_irssi,docker build -t jessfraz_irssi \Repositories1\jessfraz_irssi\debian\.
joomla_docker-joomla,docker build -t joomla_docker-joomla \Repositories1\joomla_docker-joomla\php7.4\apache\.
juanluisbaptiste_docker-brew-mageia,docker build -t juanluisbaptiste_docker-brew-mageia \Repositories1\juanluisbaptiste_docker-brew-mageia\dist\6\armv7hl\.
kaazing_gateway.docker,docker build -t kaazing_gateway.docker \Repositories1\kaazing_gateway.docker\.
keeganwitt_docker-gradle,docker build -t keeganwitt_docker-gradle \Repositories1\keeganwitt_docker-gradle\jdk8\.
Lightstreamer_Docker,docker build -t Lightstreamer_Docker \Repositories1\Lightstreamer_Docker\7.1\jdk8\.
matomo-org_docker,docker build -t matomo-org_docker \Repositories1\matomo-org_docker\apache\.
mongo-express_mongo-express-docker,docker build -t mongo-express_mongo-express-docker \Repositories1\mongo-express_mongo-express-docker\.
mono_docker,docker build -t mono_docker \Repositories1\mono_docker\6.8.0.96\.
nats-io_nats-streaming-docker,docker build -t nats-io_nats-streaming-docker \Repositories1\nats-io_nats-streaming-docker\amd64\.
neo4j_docker-neo4j,docker build -t neo4j_docker-neo4j \Repositories1\neo4j_docker-neo4j\docker-image-src\4.0\.
nextcloud_docker,docker build -t nextcloud_docker C:\Users\Franecesco-pc\Documents\NetBeansProjects\GitHubRestAPIclient\Repositories1\nextcloud_docker\18.0\apache\.
nginxinc_docker-nginx,docker build -t \Repositories1\nginxinc_docker-nginx\stable\alpine\.
nodejs_docker-node,docker build -t nodejs_docker-node \Repositories1\nodejs_docker-node\13\alpine3.10\.
odoo_docker,docker build -t odoo_docker \Repositories1\odoo_docker\13.0\.
OpenLiberty_ci.docker,docker build -t OpenLiberty_ci.docker \Repositories1\OpenLiberty_ci.docker\build\test-pet-clinic\.
orientechnologies_orientdb-docker,docker build -t orientechnologies_orientdb-docker \Repositories1\orientechnologies_orientdb-docker\3.0\arm64v8\openjdk-slim\.
osrf_docker_images,docker build -t osrf_docker_images \Repositories1\osrf_docker_images\docker\.
Perl_docker-perl,docker build -t Perl_docker-perl \Repositories1\Perl_docker-perl\5.030.002-slim-stretch\.
plone_plone.docker,docker build -t plone_plone.docker \Repositories1\plone_plone.docker\5.2\5.2.0\python2\.
postfixadmin_docker,docker build -t postfixadmin_docker \Repositories1\postfixadmin_docker\apache\.
Quantisan_docker-clojure,docker build -t Quantisan_docker-clojure \Repositories1\Quantisan_docker-clojure\target\openjdk-8-buster\boot\.
Raku_docker,docker build -t Raku_docker \Repositories1\Raku_docker\.
rapidoid_docker-rapidoid,docker build -t rapidoid_docker-rapidoid \Repositories1\rapidoid_docker-rapidoid\.
rethinkdb_rethinkdb-dockerfiles,docker build -t rethinkdb_rethinkdb-dockerfiles \Repositories1\rethinkdb_rethinkdb-dockerfiles\bionic\2.4.0\.
rocker-org_rocker,docker build -t rocker-org_rocker \Repositories1\rocker-org_rocker\r-ubuntu\.
RocketChat_Docker.Official.Image,docker build -t RocketChat_Docker.Official.Image \Repositories1\RocketChat_Docker.Official.Image\3\.
rust-lang_docker-rust,docker build -t rust-lang_docker-rust \Repositories1\rust-lang_docker-rust\1.42.0\alpine3.10\.
Silverpeas_docker-silverpeas-prod,docker build -t Silverpeas_docker-silverpeas-prod \Repositories1\Silverpeas_docker-silverpeas-prod\.
SonarSource_docker-sonarqube,docker build -t SonarSource_docker-sonarqube \Repositories1\SonarSource_docker-sonarqube\8\community\.
SWI-Prolog_docker-swipl,docker build -t SWI-Prolog_docker-swipl \Repositories1\SWI-Prolog_docker-swipl\8.1.15\stretch\.
TeamSpeak-Systems_teamspeak-linux-docker-images,docker build -t TeamSpeak-Systems_teamspeak-linux-docker-images \Repositories1\TeamSpeak-Systems_teamspeak-linux-docker-images\alpine\.
tianon_docker-bash,docker build -t tianon_docker-bash \Repositories1\tianon_docker-bash\5.0\.
TimWolla_docker-adminer,docker build -t TimWolla_docker-adminer \Repositories1\TimWolla_docker-adminer\4\.
TimWolla_docker-spiped,docker build -t TimWolla_docker-spiped \Repositories1\TimWolla_docker-spiped\1.6\.
tomitribe_docker-tomee,docker build -t tomitribe_docker-tomee \Repositories1\tomitribe_docker-tomee\TomEE-8.0\jre8\webprofile\.
varnish_docker-varnish,docker build -t varnish_docker-varnish \Repositories1\varnish_docker-varnish\stable\debian\.
WASdev_ci.docker,docker build -t WASdev_ci.docker \Repositories1\WASdev_ci.docker\test\test-pet-clinic\.
YOURLS_docker-yourls,docker build -t YOURLS_docker-yourls \Repositories1\YOURLS_docker-yourls\apache\.
znc_znc-docker,docker build -t znc_znc-docker \Repositories1\znc_znc-docker\full\.
covid19-italy,docker build -t covid19-italy \Repositories1\covid19-italy\.
